"Step","finetuned","finetune_100epoch_lowerlr - loss__MIN","finetune_100epoch_lowerlr - loss__MAX","scratch","scratch_100epoch - loss__MIN","scratch_100epoch - loss__MAX"
"0","2.5554819107055664","2.5554819107055664","2.5554819107055664","2.927945137023926","2.927945137023926","2.927945137023926"
"20","1.319366455078125","1.319366455078125","1.319366455078125","2.414518356323242","2.414518356323242","2.414518356323242"
"40","1.023476481437683","1.023476481437683","1.023476481437683","1.9489065408706665","1.9489065408706665","1.9489065408706665"
"60","0.747189462184906","0.747189462184906","0.747189462184906","1.6945910453796387","1.6945910453796387","1.6945910453796387"
"80","0.660767138004303","0.660767138004303","0.660767138004303","1.5598825216293335","1.5598825216293335","1.5598825216293335"
"100","0.463544636964798","0.463544636964798","0.463544636964798","1.4417917728424072","1.4417917728424072","1.4417917728424072"
"120","0.22769394516944885","0.22769394516944885","0.22769394516944885","1.3143224716186523","1.3143224716186523","1.3143224716186523"
"140","0.18908318877220154","0.18908318877220154","0.18908318877220154","1.4356584548950195","1.4356584548950195","1.4356584548950195"
"160","0.10544589161872864","0.10544589161872864","0.10544589161872864","1.1966112852096558","1.1966112852096558","1.1966112852096558"
"180","0.0692083016037941","0.0692083016037941","0.0692083016037941","1.185758352279663","1.185758352279663","1.185758352279663"
"200","0.02655036933720112","0.02655036933720112","0.02655036933720112","1.0403635501861572","1.0403635501861572","1.0403635501861572"
"220","0.06709271669387817","0.06709271669387817","0.06709271669387817","1.0129231214523315","1.0129231214523315","1.0129231214523315"
"240","0.02873975783586502","0.02873975783586502","0.02873975783586502","1.0063607692718506","1.0063607692718506","1.0063607692718506"
"260","0.01604076288640499","0.01604076288640499","0.01604076288640499","1.0316462516784668","1.0316462516784668","1.0316462516784668"
"280","0.016606342047452927","0.016606342047452927","0.016606342047452927","1.119343876838684","1.119343876838684","1.119343876838684"
"300","0.010217585600912571","0.010217585600912571","0.010217585600912571","1.28647780418396","1.28647780418396","1.28647780418396"
"320","0.010406430810689926","0.010406430810689926","0.010406430810689926","1.1114702224731445","1.1114702224731445","1.1114702224731445"
"340","0.010895649902522564","0.010895649902522564","0.010895649902522564","1.0256882905960083","1.0256882905960083","1.0256882905960083"
"360","0.009564677253365517","0.009564677253365517","0.009564677253365517","0.9765522480010986","0.9765522480010986","0.9765522480010986"
"380","0.009488365612924099","0.009488365612924099","0.009488365612924099","0.9378544092178345","0.9378544092178345","0.9378544092178345"
"400","0.007396934553980827","0.007396934553980827","0.007396934553980827","4.619643211364746","4.619643211364746","4.619643211364746"
"420","0.007430162746459246","0.007430162746459246","0.007430162746459246","1.9613981246948242","1.9613981246948242","1.9613981246948242"
"440","0.0070241340436041355","0.0070241340436041355","0.0070241340436041355","1.9303314685821533","1.9303314685821533","1.9303314685821533"
"460","0.006370096001774073","0.006370096001774073","0.006370096001774073","1.952018141746521","1.952018141746521","1.952018141746521"
"480","0.005946447607129812","0.005946447607129812","0.005946447607129812","1.8436355590820312","1.8436355590820312","1.8436355590820312"
"500","0.006182520650327206","0.006182520650327206","0.006182520650327206","1.7859026193618774","1.7859026193618774","1.7859026193618774"
"520","0.0049514081329107285","0.0049514081329107285","0.0049514081329107285","1.568479061126709","1.568479061126709","1.568479061126709"
"540","0.005478940904140472","0.005478940904140472","0.005478940904140472","1.47871994972229","1.47871994972229","1.47871994972229"
"560","0.004620102234184742","0.004620102234184742","0.004620102234184742","1.6336407661437988","1.6336407661437988","1.6336407661437988"
"580","0.00443493016064167","0.00443493016064167","0.00443493016064167","1.1939631700515747","1.1939631700515747","1.1939631700515747"
"600","0.0044474247843027115","0.0044474247843027115","0.0044474247843027115","1.272976040840149","1.272976040840149","1.272976040840149"
"620","0.004604903049767017","0.004604903049767017","0.004604903049767017","1.0999135971069336","1.0999135971069336","1.0999135971069336"
"640","0.003744073212146759","0.003744073212146759","0.003744073212146759","1.3546380996704102","1.3546380996704102","1.3546380996704102"
"660","0.0035361088812351227","0.0035361088812351227","0.0035361088812351227","1.2535080909729004","1.2535080909729004","1.2535080909729004"
"680","0.00355975772254169","0.00355975772254169","0.00355975772254169","1.2179269790649414","1.2179269790649414","1.2179269790649414"
"700","0.0031687659211456776","0.0031687659211456776","0.0031687659211456776","1.1528047323226929","1.1528047323226929","1.1528047323226929"
"720","0.0033383271656930447","0.0033383271656930447","0.0033383271656930447","1.1427083015441895","1.1427083015441895","1.1427083015441895"
"740","0.00370342331007123","0.00370342331007123","0.00370342331007123","1.0978047847747803","1.0978047847747803","1.0978047847747803"
"760","0.003150965552777052","0.003150965552777052","0.003150965552777052","1.0996029376983643","1.0996029376983643","1.0996029376983643"
"780","0.0027358734514564276","0.0027358734514564276","0.0027358734514564276","1.0205473899841309","1.0205473899841309","1.0205473899841309"
"800","0.0026375120505690575","0.0026375120505690575","0.0026375120505690575","0.9918504953384399","0.9918504953384399","0.9918504953384399"
"820","0.0025690426118671894","0.0025690426118671894","0.0025690426118671894","1.0988529920578003","1.0988529920578003","1.0988529920578003"
"840","0.0027930508367717266","0.0027930508367717266","0.0027930508367717266","1.0799908638000488","1.0799908638000488","1.0799908638000488"
"860","0.0024865702725946903","0.0024865702725946903","0.0024865702725946903","0.9930669069290161","0.9930669069290161","0.9930669069290161"
